Id,Parent,Label
1,0,Animals
2,0,Food
3,0,Clothing
4,0,Transport
5,0,Books
6,0,Sports
7,0,Songs
8,0,Movie
9,1,Mammals
10,1,Reptiles
11,1,Fish
12,1,Birds
13,1,Amphibians
14,1,Dinosaurs
15,1,Insect
16,1,Vertebrate
17,2,Fruit
18,2,Vegetables
19,2,Meat
20,2,Dairy
21,2,Beans
22,2,Grains
23,2,Seeds
24,2,Seafood
25,3,Tops
26,3,Bottoms
27,3,Shoes
28,3,Hats
29,3,Dresses
30,3,Footwear
31,3,Accessories
32,3,Suits
33,4,Train
34,4,Car
35,4,Bus
36,4,Bicycle
37,4,Plane
38,4,Boat
39,4,Scooter
40,4,Sport Bike
41,5,Textbook
42,5,Travel
43,5,Self Help
44,5,Horror
45,5,Mystery
46,5,Romance
47,5,Action and Adventure
48,5,Journals
49,6,Men
50,6,Woman
51,6,Individual
52,6,Team
53,6,Acrobatic
54,6,Air
55,6,Combat
56,6,Ball
57,7,Country
58,7,Jazz
59,7,Pop
60,7,Rock
61,7,Hymns
62,7,Blues
63,7,Folk
64,7,Ballads
65,8,Romance
66,8,Horror
67,8,Comedy
68,8,Animation
69,8,Action
70,8,Thriller
71,8,Adventure
72,8,Documentary
